IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
127516;Arbre;Jardin;PARIS 19E ARRDT;La rose des vents;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;000209001;Hêtre;Fagus;sylvatica;''Atropunicea'';286;19;Mature;OUI;48.88100926961093, 2.3992230687968084
106714;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;P00905009;Plaqueminier;Diospyros;lotus;;160;13;Adulte;OUI;48.85579301591001, 2.30026431835801
111331;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 20 - 75 à 77;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000307025;Platane;Platanus;x hispanica;;450;27;Mature;OUI;48.871536344973045, 2.278169244278952
135415;Arbre;Jardin;PARIS 17E ARRDT;17-12;SQUARE DES BATIGNOLLES / 144 RUE CARDINET;000204012;Plaqueminier;Diospyros;lotus;;155;13;Adulte;OUI;48.88728109396412, 2.317086626823472
132479;Arbre;Jardin;PARIS 5E ARRDT;05-04;SQUARE SAMUEL PATY / 3 PLACE PAUL PAINLEVE;000101002;Orme de Sibérie;Zelkova;carpinifolia;;267;20;Mature;OUI;48.84994647322495, 2.3442238573079095
123330;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040005;Erable;Acer;monspessulanum;;209;17;Mature;OUI;48.846242689542684, 2.251375405936281
2002366;Arbre;Jardin;BOIS DE VINCENNES;12-14;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;12-14;Platane;Platanus;x hispanica;;500;26;Mature;OUI;48.833818755082554, 2.4112193581468464
2009236;Arbre;Jardin;BOIS DE BOULOGNE;16-62;TIR AU PIGEON / 32 ROUTE DE L ETOILE;001301001;Catalpa;Catalpa;bignonioides;;410;21;Mature;OUI;48.874082164563646, 2.259164974061864
155788;Arbre;CIMETIERE;PARIS 20E ARRDT;20-01;CIMETIERE DU PERE LACHAISE / DIV 77;D00000077016;Plaqueminier;Diospyros;lotus;;115;10;Adulte;OUI;48.86208456875803, 2.398576914903438
132669;Arbre;Jardin;PARIS 5E ARRDT;;SQUARE DES ARENES DE LUTECE / 2 PLACE EMILE MALE;000301002;Hêtre;Fagus;sylvatica;''Tortuosa'';110;3;Mature;OUI;48.84488752640651, 2.3536691631893647
108281;Arbre;Jardin;PARIS 16E ARRDT;Canton 10;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;001004009;Platane;Platanus;x hispanica;;490;28;Mature;OUI;48.86261831132406, 2.2898042468935116
2002378;Arbre;Jardin;BOIS DE VINCENNES;12-23;PELOUSE DE FONTENAY - AVENUE DE LA BELLE GABRIELLE;12-23;Erable;Acer;cappadocicum;;315;21;Mature;OUI;48.84094206888498, 2.4641321138989483
113328;Arbre;Jardin;PARIS 14E ARRDT;Grande pelouse;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;031302006;Hêtre;Fagus;sylvatica;''Riversii'';420;22;Mature;OUI;48.8226040553664, 2.3367012188551644
106981;Arbre;Jardin;PARIS 14E ARRDT;Flatters;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;031401018;Arbre aux quarante écus;Ginkgo;biloba;;355;22;Mature;OUI;48.82295102039207, 2.33747224929168
2041448;Arbre;Jardin;BOIS DE VINCENNES;;ILE DE BERCY / LAC DAUMESNIL;A0280106006;Platane;Platanus;x hispanica;;420;40;Mature;OUI;48.83208536750018, 2.4110008772803746
134203;Arbre;Jardin;PARIS 17E ARRDT;17-04;SQUARE DES EPINETTES / 1 RUE MARIA DERAISMES;000302001;Marronnier;Aesculus;pavia;;310;21;Mature;OUI;48.89410542948641, 2.3262779717155215
2041445;Arbre;Jardin;BOIS DE VINCENNES;;ILE DE BERCY / LAC DAUMESNIL;A0280106003;Platane;Platanus;x hispanica;;360;32;Mature;OUI;48.832213939496356, 2.4113879075746194
305507;Arbre;Jardin;PARIS 8E ARRDT;08-01;PARC MONCEAU / 1 PLACE DE LA REPUBLIQUE DOMINICAINE;NO0104008;Erable;Acer;pseudoplatanus;;437;28;Mature;OUI;48.87870298722609, 2.3064741737057357
110444;Arbre;Jardin;PARIS 14E ARRDT;Lac et Berges;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;041501007;Hêtre;Fagus;sylvatica;''Rohan Obelisk'';144;6;Adulte;OUI;48.82334524414953, 2.3396834267329143
2002354;Arbre;Jardin;BOIS DE BOULOGNE;NYMPHEAS;PARC DE BAGATELLE / ROUTE DE SEVRES A NEUILLY;F5034304007;Hêtre;Fagus;sylvatica;''Pendula'';240;16;Mature;OUI;48.87308761150484, 2.248570201410725
